age,gender,knowent,opport,suskill,fearfail,bstart,exreason,nbmedia,nbstatus,discent
37,2,2,2,2,2,1,0,2,2,0
26,2,1,2,2,2,2,0,2,2,0
30,1,2,2,2,1,1,4,2,2,1
31,2,2,2,2,2,1,0,2,2,0
30,1,1,2,2,2,1,0,2,2,0
32,1,2,2,2,1,1,0,2,2,0
26,2,2,2,2,2,1,6,2,2,1
29,2,2,2,2,2,1,0,2,2,0
44,1,2,2,2,2,1,0,2,2,0
44,2,2,2,2,1,1,0,2,2,0
33,2,2,1,2,2,2,8,2,2,1
29,2,2,2,2,2,1,2,2,2,1
27,2,2,2,2,2,2,0,2,2,0
26,2,2,2,2,1,1,0,2,2,0
24,2,2,2,2,2,1,0,2,2,0
29,1,2,2,2,1,1,0,2,2,0
32,2,2,2,2,1,1,0,2,2,0
43,2,2,2,2,1,1,0,2,2,0
31,2,2,2,2,1,1,0,2,2,0
40,2,2,1,2,1,1,0,2,2,0
58,2,2,2,2,1,1,0,2,2,0
24,2,2,2,2,1,2,0,2,2,0
30,2,2,2,2,1,1,0,2,2,0
32,2,2,2,2,1,1,2,2,2,1
46,2,2,2,2,1,1,0,2,2,0
37,2,2,2,2,1,1,0,2,2,0
40,2,2,2,2,2,1,0,2,2,1
25,2,2,2,2,1,1,0,2,2,0
42,2,2,2,2,1,1,0,2,2,0
60,1,1,2,2,1,1,0,2,2,0
32,1,2,2,2,2,1,0,2,2,0
30,2,2,2,2,1,1,0,2,2,0
30,1,2,1,2,2,2,0,2,2,0
22,1,2,2,2,1,2,0,2,2,0
38,1,2,2,2,2,1,0,2,2,0
46,2,2,2,2,1,1,0,2,2,0
29,2,2,2,2,1,1,0,2,2,0
40,2,2,2,2,1,1,0,2,2,0
36,2,2,2,2,1,1,0,2,2,0
39,2,2,2,2,1,1,0,2,2,0
25,2,2,2,2,1,1,0,2,2,0
31,2,2,2,2,1,1,0,2,2,0
29,2,2,1,2,1,1,0,2,2,0
41,2,2,2,2,1,1,0,2,2,0
53,2,2,2,2,1,1,0,2,2,0
22,1,2,2,2,1,1,0,2,2,0
37,2,2,2,2,1,1,0,2,2,0
24,1,2,2,2,1,1,0,2,2,0
26,1,2,2,2,1,1,0,2,2,0
26,1,2,2,2,1,2,0,2,2,0
28,1,2,2,2,1,1,0,2,2,0
28,1,2,2,2,1,1,0,2,2,0
29,2,2,2,2,1,2,0,2,2,0
30,1,2,2,2,1,1,0,2,2,0
35,2,2,1,2,1,1,0,2,2,0
31,1,2,2,2,1,1,0,2,2,0
51,1,2,2,2,1,1,0,2,2,0
24,1,2,2,2,1,2,0,2,2,0
31,2,2,2,2,1,1,0,2,2,0
45,1,1,1,2,1,2,0,2,2,0
35,1,2,2,2,1,1,0,2,2,0
31,1,2,2,2,1,2,0,2,2,0
46,2,2,2,2,1,1,0,2,2,0
44,2,2,2,2,1,2,0,2,2,0
45,2,2,2,2,1,1,0,2,2,0
39,2,2,1,2,2,1,3,2,1,1
41,2,2,2,2,1,1,0,2,2,0
50,1,2,2,2,2,2,0,2,2,0
33,2,2,2,2,1,1,0,2,2,0
30,2,2,2,2,1,1,0,2,2,0
50,2,1,1,2,1,1,0,2,2,0
27,2,2,2,2,1,1,0,2,2,0
35,2,1,1,2,1,1,0,2,2,0
30,1,2,2,2,1,1,0,2,2,0
28,1,2,2,2,2,2,0,2,2,0
60,1,2,2,2,1,1,0,2,2,0
29,1,2,2,2,1,2,0,2,2,0
36,2,2,2,2,1,1,0,2,2,0
42,1,1,2,1,1,1,0,2,2,0
33,2,2,2,2,2,1,0,1,2,0
42,2,2,1,2,1,2,0,2,2,0
27,1,2,2,1,1,2,0,2,2,0
40,1,2,2,2,1,1,0,2,2,0
39,1,2,2,2,1,1,0,2,2,0
49,2,2,2,2,2,1,0,1,2,0
59,2,2,2,2,2,1,0,2,2,0
34,2,2,1,2,2,1,0,2,2,0
28,2,2,2,2,1,2,0,2,2,0
